orderID;customerID;employeeID;orderDate;monthOrder;yearOrder;requiredDate;shippedDate;shipperID;companyName;freight;lateDays;companyName.1;contactName;contactTitle;city.1;country.1;employeeName;title;city;country;reportsTo;productID;unitPrice;quantity;discount;sale;productName;quantityPerUnit;unitPrice.1;discontinued;categoryID;categoryName;description
10248;VINET;5;04.07.2013;Июль;2013;01.08.2013;16.07.2013;3;Federal Shipping;32,38;16;Vins et alcools Chevalier;Paul Henriot;Accounting Manager;Reims;France;Steven Buchanan;Sales Manager;London;UK;2;11;14;12;0;168;Queso Cabrales;1 kg pkg.;21;0;4;Dairy Products;Cheeses
10248;VINET;5;04.07.2013;Июль;2013;01.08.2013;16.07.2013;3;Federal Shipping;32,38;16;Vins et alcools Chevalier;Paul Henriot;Accounting Manager;Reims;France;Steven Buchanan;Sales Manager;London;UK;2;42;9,8;10;0;98;Singaporean Hokkien Fried Mee;32 - 1 kg pkgs.;14;1;5;Grains & Cereals;Breads, crackers, pasta, and cereal
10255;RICSU;9;12.07.2013;Июль;2013;09.08.2013;15.07.2013;3;Federal Shipping;148,33;25;Richter Supermarkt;Michael Holz;Sales Manager;Genиve;Switzerland;Anne Dodsworth;Sales Representative;London;UK;5;2;15,2;20;0;304;Chang;24 - 12 oz bottles;19;0;1;Beverages;Soft drinks, coffees, teas, beers, and ales
10258;ERNSH;1;17.07.2013;Июль;2013;14.08.2013;23.07.2013;1;Speedy Express;140,51;22;Ernst Handel;Roland Mendel;Sales Manager;Graz;Austria;Nancy Davolio;Sales Representative;New York;USA;8;2;15,2;50;0,2;760;Chang;24 - 12 oz bottles;19;0;1;Beverages;Soft drinks, coffees, teas, beers, and ales
10248;VINET;5;04.07.2013;Июль;2013;01.08.2013;16.07.2013;3;Federal Shipping;32,38;16;Vins et alcools Chevalier;Paul Henriot;Accounting Manager;Reims;France;Steven Buchanan;Sales Manager;London;UK;2;72;34,8;5;0;174;Mozzarella di Giovanni;24 - 200 g pkgs.;34,8;0;4;Dairy Products;Cheeses
10274;VINET;6;06.08.2013;Август;2013;03.09.2013;16.08.2013;1;Speedy Express;6,01;18;Vins et alcools Chevalier;Paul Henriot;Accounting Manager;Reims;France;Michael Suyama;Sales Representative;London;UK;5;72;27,8;7;0;194,6;Mozzarella di Giovanni;24 - 200 g pkgs.;34,8;0;4;Dairy Products;Cheeses
10297;BLONP;5;04.09.2013;Сентябрь;2013;16.10.2013;10.09.2013;2;United Package;5,74;36;Blondesddsl pиre et fils;Frйdйrique Citeaux;Marketing Manager;Strasbourg;France;Steven Buchanan;Sales Manager;London;UK;2;72;27,8;20;0;556;Mozzarella di Giovanni;24 - 200 g pkgs.;34,8;0;4;Dairy Products;Cheeses
10289;BSBEV;7;26.08.2013;Август;2013;23.09.2013;28.08.2013;3;Federal Shipping;22,77;26;B's Beverages;Victoria Ashworth;Sales Representative;London;UK;Robert King;Sales Representative;London;UK;5;3;8;30;0;240;Aniseed Syrup;12 - 550 ml bottles;10;0;2;Condiments;Sweet and savory sauces, relishes, spreads, and seasonings
10274;VINET;6;06.08.2013;Август;2013;03.09.2013;16.08.2013;1;Speedy Express;6,01;18;Vins et alcools Chevalier;Paul Henriot;Accounting Manager;Reims;France;Michael Suyama;Sales Representative;London;UK;5;71;17,2;20;0;344;Flotemysost;10 - 500 g pkgs.;21,5;0;4;Dairy Products;Cheeses
10326;BOLID;4;10.10.2013;Октябрь;2013;07.11.2013;14.10.2013;2;United Package;77,92;24;Bуlido Comidas preparadas;Martнn Sommer;Owner;Madrid;Spain;Margaret Peacock;Sales Representative;New York;USA;8;4;17,6;24;0;422,4;Chef Anton's Cajun Seasoning;48 - 6 oz jars;22;0;2;Condiments;Sweet and savory sauces, relishes, spreads, and seasonings
